system:index,VH,VV,.geo
162,-18.456735645292024,-12.298417844869267,"{""type"":""Point"",""coordinates"":[79.29542670677681,16.99010268270739]}"
163,-17.337809693336364,-9.817246894108619,"{""type"":""Point"",""coordinates"":[79.31172721044045,17.046674899634972]}"
164,-15.900389090898843,-9.980503094517765,"{""type"":""Point"",""coordinates"":[79.26004618905729,17.14405239673941]}"
165,-20.352765637476928,-10.176984291259236,"{""type"":""Point"",""coordinates"":[79.3251038387481,17.047600887489597]}"
166,-16.74487414044091,-8.87593221875503,"{""type"":""Point"",""coordinates"":[79.33181467856943,17.00460385738207]}"
167,-15.611672836460325,-8.478231750184712,"{""type"":""Point"",""coordinates"":[79.28731267355771,16.986491578616466]}"
168,-20.18745445666328,-10.543681764673305,"{""type"":""Point"",""coordinates"":[79.34194461271024,17.028229695040668]}"
169,-21.489143508560026,-13.8851521180468,"{""type"":""Point"",""coordinates"":[79.24815092639527,17.028343460572444]}"
170,-18.110115224470384,-10.692305158155085,"{""type"":""Point"",""coordinates"":[79.330339153592,17.019027348952637]}"
171,-19.01744120990733,-11.31177745787221,"{""type"":""Point"",""coordinates"":[79.19419984603407,17.059566997098585]}"
172,-21.213316463738604,-10.987045894492951,"{""type"":""Point"",""coordinates"":[79.25948433304181,17.01084102151489]}"
173,-18.60919598097364,-9.822280988040795,"{""type"":""Point"",""coordinates"":[79.21029589352926,17.049197404962687]}"
174,-19.228494042664934,-12.014371808207528,"{""type"":""Point"",""coordinates"":[79.22332616557472,17.11463407302144]}"
175,-19.541832402789066,-5.588007465279624,"{""type"":""Point"",""coordinates"":[79.21382523676492,17.126362905046275]}"
176,-26.316041144565215,-15.201541387354675,"{""type"":""Point"",""coordinates"":[79.23897966614477,17.14110619718284]}"
177,-17.700211110580437,-11.055919872798155,"{""type"":""Point"",""coordinates"":[79.24022556524258,17.058051272809784]}"
178,-17.160564584181746,-8.988349519665496,"{""type"":""Point"",""coordinates"":[79.2865118689969,17.070994342947053]}"
179,-20.81027088889439,-14.150464043177903,"{""type"":""Point"",""coordinates"":[79.21929942333747,17.12579206855975]}"
180,-19.176674713653558,-11.23439836490859,"{""type"":""Point"",""coordinates"":[79.2499332480494,17.081026769488968]}"
181,-17.17576279401284,-10.455211843320589,"{""type"":""Point"",""coordinates"":[79.2611723152714,17.075703669021042]}"
182,-19.874320770534226,-12.481863436411425,"{""type"":""Point"",""coordinates"":[79.23382610764791,17.122579009147717]}"
183,-21.032585936925926,-9.950660776485744,"{""type"":""Point"",""coordinates"":[79.27747649963923,16.996769934829768]}"
184,-15.40299895740397,-8.803740510087387,"{""type"":""Point"",""coordinates"":[79.32675837499539,17.07062699844798]}"
185,-17.44155253592853,-10.522148598387746,"{""type"":""Point"",""coordinates"":[79.28186268249178,16.99515761913324]}"
186,-13.098410779630074,-9.64368603506021,"{""type"":""Point"",""coordinates"":[79.26411473194959,17.068521584029995]}"
187,-20.055184194099724,-13.740276074590088,"{""type"":""Point"",""coordinates"":[79.21544308160951,16.986404015852358]}"
188,-19.42478977444184,-9.88234499711036,"{""type"":""Point"",""coordinates"":[79.33339058738785,17.001368153357472]}"
189,-17.532328146507723,-10.549497909939095,"{""type"":""Point"",""coordinates"":[79.26944893019466,17.14016665504377]}"
190,-16.78519011386244,-11.46553051732977,"{""type"":""Point"",""coordinates"":[79.3153857969287,17.003164652778366]}"
191,-20.06969698972921,-10.955805501744022,"{""type"":""Point"",""coordinates"":[79.29011099483075,16.984054665233298]}"
192,-16.764666384867127,-10.067253966078164,"{""type"":""Point"",""coordinates"":[79.35676726781837,17.054454828087472]}"
193,-16.737553957197886,-11.767392408892084,"{""type"":""Point"",""coordinates"":[79.24684887513172,17.008898106960093]}"
194,-16.55391459391848,-9.403227507098752,"{""type"":""Point"",""coordinates"":[79.28836273287754,17.061978101030384]}"
195,-15.7882152702744,-10.609713826150225,"{""type"":""Point"",""coordinates"":[79.26777591330936,17.030647584272042]}"
196,-23.865606083593086,-17.242800647657923,"{""type"":""Point"",""coordinates"":[79.29675765684247,16.99561981032216]}"
197,-18.665358891996647,-11.297268270928564,"{""type"":""Point"",""coordinates"":[79.34270183765551,17.017074182221744]}"
198,-23.397594291960576,-13.909864679014408,"{""type"":""Point"",""coordinates"":[79.21494056273106,17.081913939005645]}"
199,-14.157243308107168,-9.4348258891583,"{""type"":""Point"",""coordinates"":[79.27912843465516,17.04338822092497]}"
200,-26.80712880064184,-15.029060873929636,"{""type"":""Point"",""coordinates"":[79.22717223876843,17.031033207324136]}"
201,-15.45117504559667,-10.356407353199176,"{""type"":""Point"",""coordinates"":[79.2695498891962,17.12170805254037]}"
202,-20.937820540622802,-13.376678414507788,"{""type"":""Point"",""coordinates"":[79.28343840744984,17.131303807997384]}"
203,-18.669048595449908,-9.8690763421048,"{""type"":""Point"",""coordinates"":[79.23505167553283,16.982244492448533]}"
204,-17.741195092515554,-8.880000135672388,"{""type"":""Point"",""coordinates"":[79.32869843307277,17.084262947401918]}"
205,-19.82070210311698,-11.735183009842567,"{""type"":""Point"",""coordinates"":[79.29855935142439,17.077456919443268]}"
206,-19.040496946041273,-11.79133388194077,"{""type"":""Point"",""coordinates"":[79.24355038503047,16.998246142076447]}"
207,-23.786151792146967,-15.13664134868151,"{""type"":""Point"",""coordinates"":[79.3222027674903,17.028917192011026]}"
208,-18.358174041563224,-11.688724951111787,"{""type"":""Point"",""coordinates"":[79.31584037480505,16.984084899319832]}"
209,-17.037883801489162,-12.307196419194584,"{""type"":""Point"",""coordinates"":[79.26785896179089,17.133149436217217]}"
210,-18.2186608963662,-11.398006518817283,"{""type"":""Point"",""coordinates"":[79.34649753937815,17.026990249185395]}"
211,-16.967812579843095,-10.335712671346897,"{""type"":""Point"",""coordinates"":[79.31762849423718,17.038397296298086]}"
212,-19.48330336568677,-10.725283610765759,"{""type"":""Point"",""coordinates"":[79.2489066978912,16.98796525885226]}"
213,-18.434349623302506,-11.110304713252441,"{""type"":""Point"",""coordinates"":[79.32437925633441,17.127345840956956]}"
214,-16.758605407994832,-10.14063410862224,"{""type"":""Point"",""coordinates"":[79.30605302605856,17.030303102495033]}"
215,-19.161543152761492,-10.678668221206976,"{""type"":""Point"",""coordinates"":[79.24916038201246,16.97865664817644]}"
216,-14.69306771133397,-7.01928430901126,"{""type"":""Point"",""coordinates"":[79.2963308310057,17.03647506946285]}"
217,-18.268021182812834,-13.089446018751582,"{""type"":""Point"",""coordinates"":[79.23692004153246,17.085592759675347]}"
218,-17.565925843845168,-11.714441431060063,"{""type"":""Point"",""coordinates"":[79.33856509728557,17.086695028981797]}"
219,-15.805006633350821,-10.303344393099884,"{""type"":""Point"",""coordinates"":[79.33176655060228,17.0096394584732]}"
220,-16.25498214580084,-9.618237045384593,"{""type"":""Point"",""coordinates"":[79.32611493197041,17.05300103304955]}"
221,-16.986628481541274,-9.618577263184472,"{""type"":""Point"",""coordinates"":[79.3455267448498,17.01773152051825]}"
222,-17.57136206230567,-11.407145631470424,"{""type"":""Point"",""coordinates"":[79.22662685986238,17.04915548462368]}"
223,-16.54548366558847,-9.209034136341943,"{""type"":""Point"",""coordinates"":[79.31133459311218,17.032115592231058]}"
224,-19.17887238461659,-11.59312644919236,"{""type"":""Point"",""coordinates"":[79.26935712721979,17.136659373055462]}"
225,-20.527895490457247,-9.820881025437945,"{""type"":""Point"",""coordinates"":[79.31575724710177,17.062363513133743]}"
226,-34.48684899895652,-22.903070653248996,"{""type"":""Point"",""coordinates"":[79.30346381774504,17.091524723886607]}"
227,-16.083277567351086,-10.24805074890742,"{""type"":""Point"",""coordinates"":[79.34603016434077,17.05173184804441]}"
228,-19.755659642486386,-11.860428681776558,"{""type"":""Point"",""coordinates"":[79.23451603248026,17.0933443497347]}"
229,-17.711858003048285,-13.154659253813525,"{""type"":""Point"",""coordinates"":[79.20492595814595,17.090264215988856]}"
230,-28.12767961601788,-15.725088004719197,"{""type"":""Point"",""coordinates"":[79.23457655945269,17.137134917149567]}"
231,-20.76845112784461,-11.195773138918845,"{""type"":""Point"",""coordinates"":[79.30823423634834,17.033454168304157]}"
232,-22.128844753283868,-14.059759054428305,"{""type"":""Point"",""coordinates"":[79.2294348514889,17.112808633463533]}"
233,-20.232224038287896,-11.942364027580004,"{""type"":""Point"",""coordinates"":[79.22998227002758,17.055093859194024]}"
234,-16.10789388241551,-5.485341133459806,"{""type"":""Point"",""coordinates"":[79.28792855078363,17.011170468568004]}"
235,-16.414603547565967,-5.708201484967019,"{""type"":""Point"",""coordinates"":[79.27331567236378,17.070602490580864]}"
236,-14.556952541563446,-8.172305427108057,"{""type"":""Point"",""coordinates"":[79.28530663786711,17.050664135785095]}"
237,-15.448149520268611,-12.154187130536386,"{""type"":""Point"",""coordinates"":[79.18104920095446,17.02996296050972]}"
238,-19.51231907827262,-12.877191020143542,"{""type"":""Point"",""coordinates"":[79.28842867366366,17.125967031833184]}"
239,-19.62023657733324,-9.929947484531908,"{""type"":""Point"",""coordinates"":[79.35242549182964,17.032795191437813]}"
